List Size, Merge Sort Runtime, Selection Sort Runtime
10,87978,61633
25,98931,35339
35,87174,66573
50,34718,122852
100,51516,477562
250,204199,1699111
500,293209,2095682
1000,485625,1760443
10000,2334194,90488979
